Age,Gender,Nationality,Occupation,Income_Bracket,Income_Numeric,Buy_Frequency,Monthly_Spend,Brand_Preferences,Influencer_Purchased,Platforms_Followed,Influencer_Tier,Ad_Formats_Engaged,Engagement_Level,Motivations,Skincare_Concerns,Online_Buying_Challenges,Influencer_1Month_Importance,Likelihood_Buy_Next_Month,Giveaway_Challenge_Participation,Willingness_to_Pay_More,Open_Feedback,Last_Brand_Purchased
35-44,Male,Egyptian,Employed full-time,10000-20000,5753.0,2–3 times a month,137.0,"Dermatologist-recommended,Premium",Yes,"Instagram,Facebook",Micro-influencer,"Long-form Video,Post,Reel/Short Video",Sometimes,"Reviews,Ingredients","Acne,Hyperpigmentation,Dryness,Aging/wrinkles","Prefer in-store experience,Not sure if product suits me,Hard to judge authenticity",Important,Neutral,No,0% (none),Use less retouching in photos.,Neutrogena
18-24,Male,British,Homemaker,5000-10000,56566.0,2–3 times a month,957.0,"Dermatologist-recommended,International brands,Premium",Yes,"Other,TikTok,Instagram",Mega-influencer,Long-form Video,Often,"Ingredients,Influencer recommendation",Acne,Hard to judge authenticity,Not important,Unlikely,No,11–20%,,
18-24,Female,Emirati,Student,20000-35000,4753.0,Once a month,282.0,"International brands,Premium,Drugstore,Dermatologist-recommended",No,Instagram,Micro-influencer,"Long-form Video,Reel/Short Video,Post",Often,"Ingredients,Reviews","Other,Hyperpigmentation,Sensitivity,Dryness",Lack of trust in reviews,Very important,Neutral,No,Over 30%,Include more before-and-after photos.,Cetaphil
Under 18,Male,Emirati,Employed full-time,<5000,4946.0,More than once a week,102.0,"Local brands,Drugstore,Dermatologist-recommended",Yes,"Facebook,TikTok,YouTube",Macro-influencer,Blog/Article,Sometimes,"Packaging/design,Brand reputation","Oily skin,Dryness,Acne,Hyperpigmentation","Not sure if product suits me,Lack of trust in reviews,Too many choices",Important,Likely,No,21–30%,,
25-34,Female,Filipino,Employed full-time,5000-10000,26020.0,More than once a week,935.0,Premium,No,TikTok,Macro-influencer,Blog/Article,Rarely,"Discounts/offers,Influencer recommendation","Aging/wrinkles,Dryness,Oily skin,Hyperpigmentation",Hard to judge authenticity,Very important,Very likely,Yes,1–10%,Show skincare routine without filters.,
25-34,Female,Indian,Business owner,20000-35000,2225.0,More than once a week,1741.0,K-beauty/J-beauty,Yes,"Instagram,YouTube",Micro-influencer,Reel/Short Video,Always,"Ingredients,Packaging/design","Oily skin,Acne",Prefer in-store experience,Neutral,Very likely,No,11–20%,Use less retouching in photos.,Cetaphil
25-34,Female,Indian,Employed full-time,5000-10000,12737.0,Weekly,418.0,"Drugstore,K-beauty/J-beauty,International brands",Yes,"TikTok,YouTube,Facebook",Celebrity influencer,Story,Often,"Reviews,Discounts/offers","Hyperpigmentation,Aging/wrinkles,Oily skin","Not sure if product suits me,Delivery issues,Lack of trust in reviews",Important,Neutral,Yes,1–10%,Use less retouching in photos.,
25-34,Male,Indian,Employed part-time,5000-10000,13630.0,Once a month,833.0,"Drugstore,Organic/Natural",No,Instagram,Macro-influencer,"Reel/Short Video,Post,Long-form Video",Always,"Friends/family recommendation,Reviews","Sensitivity,Oily skin,Dryness","Too many choices,Delivery issues,Not sure if product suits me",Very important,Likely,Maybe,0% (none),Include more before-and-after photos.,Drunk Elephant
45 or older,Female,Egyptian,Business owner,<5000,18292.0,Weekly,1247.0,"K-beauty/J-beauty,Dermatologist-recommended,Drugstore,Organic/Natural",Yes,Instagram,Micro-influencer,Story,Sometimes,"Reviews,Influencer recommendation",Acne,Prefer in-store experience,Very important,Very likely,Yes,1–10%,Show skincare routine without filters.,La Roche-Posay
18-24,Female,Other,Unemployed,20000-35000,35000.0,2–3 times a month,1062.0,"Premium,Organic/Natural,Drugstore",Yes,YouTube,Micro-influencer,Story,Often,"Discounts/offers,Friends/family recommendation",Hyperpigmentation,Delivery issues,Very important,Neutral,Yes,Over 30%,Be more transparent about paid partnerships.,Cetaphil
25-34,Female,Filipino,Employed full-time,10000-20000,35419.0,Once a month,862.0,Drugstore,Yes,TikTok,Micro-influencer,Post,Often,"Ingredients,Reviews","Dryness,Sensitivity,Aging/wrinkles,Acne","Prefer in-store experience,Too many choices",Not important,Neutral,Maybe,0% (none),Share more honest reviews.,
35-44,Male,Other,Employed full-time,10000-20000,2608.0,Weekly,1282.0,"Organic/Natural,K-beauty/J-beauty",Yes,TikTok,Micro-influencer,Reel/Short Video,Sometimes,"Ingredients,Discounts/offers","Oily skin,Aging/wrinkles,Sensitivity,Acne","Not sure if product suits me,Delivery issues",Important,Likely,Yes,0% (none),,
25-34,Female,Indian,Homemaker,5000-10000,17526.0,Less than once a month,604.0,"Dermatologist-recommended,Organic/Natural,K-beauty/J-beauty,Premium",No,"Other,TikTok",Macro-influencer,Reel/Short Video,Always,"Influencer recommendation,Ingredients","Sensitivity,Aging/wrinkles,Hyperpigmentation,Oily skin",Lack of trust in reviews,Not important,Very likely,Yes,0% (none),Show skincare routine without filters.,
25-34,Female,Filipino,Other,10000-20000,11354.0,Less than once a month,739.0,"Local brands,Organic/Natural,K-beauty/J-beauty,International brands",Yes,"TikTok,YouTube",Micro-influencer,"Blog/Article,Reel/Short Video",Never,"Discounts/offers,Influencer recommendation","Dryness,Oily skin","Not sure if product suits me,Lack of trust in reviews",Neutral,Very likely,Maybe,0% (none),Use less retouching in photos.,The Ordinary
35-44,Male,Indian,Unemployed,10000-20000,11380.0,2–3 times a month,196.0,"Local brands,Drugstore",No,"Snapchat,Facebook",Micro-influencer,"Reel/Short Video,Story,Long-form Video",Often,"Discounts/offers,Friends/family recommendation",Acne,Lack of trust in reviews,Somewhat important,Neutral,Yes,1–10%,Share more honest reviews.,Huda Beauty
45 or older,Male,Pakistani,Employed full-time,5000-10000,3236.0,2–3 times a month,1247.0,"Drugstore,Premium,International brands",No,"Instagram,YouTube,TikTok",Mega-influencer,Blog/Article,Always,"Reviews,Friends/family recommendation","Dryness,Acne,Hyperpigmentation",Delivery issues,Important,Very likely,Yes,1–10%,Use less retouching in photos.,Drunk Elephant
18-24,Male,Other,Employed full-time,5000-10000,11453.0,Weekly,153.0,Organic/Natural,Yes,"Instagram,YouTube,TikTok",Macro-influencer,"Blog/Article,Reel/Short Video",Sometimes,"Influencer recommendation,Packaging/design","Hyperpigmentation,Acne,Aging/wrinkles,Other","Delivery issues,Not sure if product suits me",Very important,Neutral,Yes,0% (none),Include more before-and-after photos.,
45 or older,Female,Pakistani,Employed full-time,5000-10000,38401.0,Once a month,158.0,Drugstore,No,Snapchat,Micro-influencer,Post,Often,"Influencer recommendation,Reviews","Hyperpigmentation,Dryness",Delivery issues,Important,Neutral,Maybe,0% (none),Be more transparent about paid partnerships.,Drunk Elephant
25-34,Female,Indian,Business owner,>35000,23855.0,Once a month,174.0,"International brands,Dermatologist-recommended,Premium",No,Facebook,Celebrity influencer,Reel/Short Video,Sometimes,"Ingredients,Brand reputation","Oily skin,Hyperpigmentation,Aging/wrinkles","Hard to judge authenticity,Prefer in-store experience",Very important,Very likely,Yes,1–10%,,Huda Beauty
18-24,Female,Pakistani,Employed full-time,10000-20000,7204.0,Once a month,2715.0,"Drugstore,Premium,International brands,Dermatologist-recommended",Yes,"YouTube,Facebook",Micro-influencer,Story,Often,"Ingredients,Dermatologist advice","Sensitivity,Oily skin,Dryness",Delivery issues,Not important,Very likely,No,1–10%,Use less retouching in photos.,Huda Beauty
25-34,Male,Indian,Employed full-time,20000-35000,2367.0,Less than once a month,519.0,"Premium,K-beauty/J-beauty",Yes,"YouTube,TikTok",Mega-influencer,"Live Stream,Story,Blog/Article",Often,"Discounts/offers,Reviews","Acne,Oily skin,Aging/wrinkles","Delivery issues,Too many choices",Very important,Likely,Yes,21–30%,Be more transparent about paid partnerships.,CeraVe
45 or older,Female,Other,Homemaker,5000-10000,6049.0,Less than once a month,781.0,"K-beauty/J-beauty,Dermatologist-recommended,Drugstore,International brands",Yes,YouTube,Macro-influencer,"Post,Story",Sometimes,"Influencer recommendation,Discounts/offers","Acne,Aging/wrinkles,Hyperpigmentation,Sensitivity",Too many choices,Somewhat important,Very likely,Yes,0% (none),,
25-34,Female,Filipino,Employed full-time,20000-35000,17759.0,2–3 times a month,807.0,"Dermatologist-recommended,K-beauty/J-beauty,International brands",No,"Facebook,Snapchat",Macro-influencer,"Reel/Short Video,Blog/Article,Story",Often,"Ingredients,Influencer recommendation",Hyperpigmentation,Not sure if product suits me,Important,Likely,Yes,0% (none),Use less retouching in photos.,
18-24,Female,Filipino,Unemployed,10000-20000,12881.0,2–3 times a month,532.0,"Local brands,International brands,Premium,Drugstore",No,TikTok,Mega-influencer,Story,Rarely,"Influencer recommendation,Ingredients","Hyperpigmentation,Aging/wrinkles","Prefer in-store experience,Not sure if product suits me,Hard to judge authenticity",Important,Neutral,Maybe,0% (none),Share more honest reviews.,
25-34,Prefer not to say,Pakistani,Employed full-time,10000-20000,7535.0,Weekly,857.0,"Drugstore,International brands",Yes,"Facebook,YouTube",Macro-influencer,"Reel/Short Video,Post,Long-form Video",Rarely,"Reviews,Influencer recommendation","Oily skin,Sensitivity,Hyperpigmentation","Lack of trust in reviews,Not sure if product suits me",Very important,Very likely,No,0% (none),Be more transparent about paid partnerships.,The Ordinary
18-24,Male,Pakistani,Employed full-time,>35000,2510.0,More than once a week,635.0,"Premium,Drugstore",No,"Other,Instagram",Mega-influencer,"Reel/Short Video,Post,Long-form Video",Sometimes,"Ingredients,Packaging/design","Sensitivity,Hyperpigmentation","Too many choices,Prefer in-store experience,Lack of trust in reviews",Very important,Very likely,Yes,0% (none),Show skincare routine without filters.,
18-24,Female,Emirati,Employed full-time,5000-10000,7010.0,2–3 times a month,357.0,"Drugstore,International brands,Local brands,K-beauty/J-beauty",No,"Instagram,Facebook,YouTube",Mega-influencer,Story,Often,"Reviews,Ingredients",Oily skin,Lack of trust in reviews,Neutral,Neutral,Yes,0% (none),Be more transparent about paid partnerships.,
18-24,Female,British,Business owner,<5000,7697.0,Less than once a month,825.0,"Local brands,Drugstore,K-beauty/J-beauty",No,"Instagram,Facebook",Micro-influencer,"Reel/Short Video,Post,Long-form Video",Rarely,"Influencer recommendation,Friends/family recommendation",Acne,"Too many choices,Hard to judge authenticity",Not important,Neutral,Yes,1–10%,Show skincare routine without filters.,Glow Recipe
18-24,Female,Indian,Student,10000-20000,25750.0,Less than once a month,524.0,"Organic/Natural,K-beauty/J-beauty,International brands,Drugstore",No,Facebook,Micro-influencer,"Story,Blog/Article",Often,"Reviews,Friends/family recommendation",Dryness,"Hard to judge authenticity,Lack of trust in reviews,Not sure if product suits me",Important,Neutral,No,0% (none),Show skincare routine without filters.,Drunk Elephant
18-24,Female,British,Employed full-time,10000-20000,11222.0,Weekly,849.0,"Dermatologist-recommended,Premium,Drugstore",Yes,"TikTok,Instagram",Mega-influencer,"Blog/Article,Reel/Short Video,Story",Sometimes,"Friends/family recommendation,Packaging/design","Acne,Hyperpigmentation,Dryness",Not sure if product suits me,Important,Likely,Yes,21–30%,,CeraVe
18-24,Female,Egyptian,Other,10000-20000,5361.0,2–3 times a month,305.0,K-beauty/J-beauty,No,"YouTube,Instagram",Macro-influencer,"Reel/Short Video,Post",Often,"Influencer recommendation,Discounts/offers","Acne,Aging/wrinkles,Sensitivity,Oily skin",Not sure if product suits me,Important,Likely,Yes,0% (none),Share more honest reviews.,Glow Recipe
25-34,Prefer not to say,Egyptian,Employed full-time,5000-10000,8706.0,Weekly,605.0,"K-beauty/J-beauty,Drugstore,Premium",No,Other,Mega-influencer,"Story,Post,Long-form Video",Never,"Influencer recommendation,Dermatologist advice",Sensitivity,Not sure if product suits me,Not important,Very likely,Maybe,0% (none),,Neutrogena
18-24,Male,Pakistani,Employed full-time,10000-20000,2615.0,Weekly,665.0,"Dermatologist-recommended,Drugstore,International brands,Premium",No,"YouTube,Instagram,Snapchat",Macro-influencer,Long-form Video,Often,"Packaging/design,Friends/family recommendation",Hyperpigmentation,"Not sure if product suits me,Too many choices,Delivery issues",Very important,Neutral,Yes,0% (none),Share more honest reviews.,
18-24,Male,Filipino,Employed full-time,5000-10000,34364.0,More than once a week,1563.0,"Dermatologist-recommended,Premium,Drugstore",Yes,"YouTube,Facebook",Macro-influencer,"Live Stream,Blog/Article,Reel/Short Video",Often,"Ingredients,Discounts/offers","Oily skin,Sensitivity,Hyperpigmentation,Acne","Too many choices,Not sure if product suits me",Somewhat important,Likely,Yes,21–30%,Include more before-and-after photos.,The Ordinary
35-44,Female,Indian,Employed full-time,5000-10000,6017.0,More than once a week,1062.0,"Premium,International brands,K-beauty/J-beauty",Yes,"YouTube,Instagram",Micro-influencer,"Post,Story",Always,"Discounts/offers,Reviews","Dryness,Sensitivity,Oily skin","Delivery issues,Prefer in-store experience,Too many choices",Neutral,Very likely,Yes,1–10%,Use less retouching in photos.,
25-34,Female,Egyptian,Employed part-time,10000-20000,7849.0,2–3 times a month,971.0,"Dermatologist-recommended,Organic/Natural,K-beauty/J-beauty",Yes,TikTok,Micro-influencer,Long-form Video,Often,"Ingredients,Friends/family recommendation","Hyperpigmentation,Acne,Aging/wrinkles,Oily skin","Delivery issues,Prefer in-store experience",Somewhat important,Unlikely,Yes,0% (none),Share more honest reviews.,The Ordinary
25-34,Male,Indian,Employed full-time,10000-20000,5951.0,Once a month,1459.0,"International brands,K-beauty/J-beauty,Dermatologist-recommended,Drugstore",Yes,"Facebook,Snapchat,TikTok",Macro-influencer,Reel/Short Video,Often,"Ingredients,Brand reputation","Oily skin,Acne",Delivery issues,Very important,Likely,Yes,0% (none),Use less retouching in photos.,
18-24,Male,Filipino,Employed full-time,5000-10000,12326.0,More than once a week,3164.0,"Drugstore,International brands,Premium",No,"Snapchat,Other",Macro-influencer,Blog/Article,Always,"Dermatologist advice,Discounts/offers","Dryness,Sensitivity,Hyperpigmentation,Oily skin","Lack of trust in reviews,Prefer in-store experience",Somewhat important,Likely,Yes,11–20%,Use less retouching in photos.,
18-24,Male,Indian,Employed full-time,5000-10000,11769.0,2–3 times a month,463.0,Drugstore,Yes,"TikTok,Snapchat,YouTube",Macro-influencer,Reel/Short Video,Often,"Reviews,Ingredients","Acne,Aging/wrinkles,Oily skin",Not sure if product suits me,Very important,Likely,No,1–10%,Use less retouching in photos.,
Under 18,Female,Indian,Employed part-time,5000-10000,13308.0,Less than once a month,556.0,"Dermatologist-recommended,Drugstore",No,YouTube,Macro-influencer,"Reel/Short Video,Blog/Article,Live Stream",Rarely,"Discounts/offers,Influencer recommendation",Aging/wrinkles,"Not sure if product suits me,Hard to judge authenticity,Prefer in-store experience",Neutral,Likely,Yes,0% (none),,Neutrogena
18-24,Male,Pakistani,Employed full-time,5000-10000,4810.0,2–3 times a month,976.0,"Dermatologist-recommended,Organic/Natural",No,"TikTok,Instagram,YouTube",Macro-influencer,Story,Often,"Reviews,Friends/family recommendation","Sensitivity,Other,Aging/wrinkles,Dryness",Hard to judge authenticity,Important,Likely,Yes,1–10%,,La Roche-Posay
18-24,Male,Emirati,Employed full-time,20000-35000,5414.0,2–3 times a month,555.0,"Organic/Natural,Premium,Drugstore",No,"TikTok,YouTube",Mega-influencer,"Reel/Short Video,Long-form Video",Often,"Influencer recommendation,Ingredients",Aging/wrinkles,"Not sure if product suits me,Lack of trust in reviews",Very important,Neutral,No,0% (none),Show skincare routine without filters.,CeraVe
18-24,Male,British,Employed full-time,20000-35000,3204.0,Weekly,641.0,"Dermatologist-recommended,Organic/Natural",Yes,YouTube,Micro-influencer,"Post,Blog/Article,Long-form Video",Sometimes,"Brand reputation,Ingredients","Hyperpigmentation,Acne",Not sure if product suits me,Somewhat important,Unlikely,Maybe,0% (none),Share more honest reviews.,Huda Beauty
18-24,Male,Indian,Employed full-time,5000-10000,11591.0,2–3 times a month,1387.0,Drugstore,No,Snapchat,Macro-influencer,"Reel/Short Video,Story,Post",Often,"Discounts/offers,Ingredients","Hyperpigmentation,Dryness,Oily skin,Sensitivity",Delivery issues,Very important,Likely,Yes,11–20%,Include more before-and-after photos.,
18-24,Male,Emirati,Employed full-time,10000-20000,2365.0,Once a month,421.0,Local brands,No,"TikTok,Instagram,YouTube",Micro-influencer,"Live Stream,Blog/Article",Often,"Discounts/offers,Influencer recommendation","Oily skin,Hyperpigmentation","Too many choices,Delivery issues",Very important,Neutral,Yes,Over 30%,Share more honest reviews.,
25-34,Female,Filipino,Employed full-time,20000-35000,10195.0,More than once a week,280.0,Dermatologist-recommended,No,"YouTube,Instagram",Macro-influencer,Post,Always,"Friends/family recommendation,Discounts/offers",Acne,"Not sure if product suits me,Too many choices,Delivery issues",Important,Neutral,Yes,1–10%,Show skincare routine without filters.,Huda Beauty
18-24,Male,Emirati,Homemaker,20000-35000,20341.0,Weekly,492.0,"Drugstore,International brands,K-beauty/J-beauty",Yes,"Instagram,YouTube",Micro-influencer,"Long-form Video,Blog/Article,Live Stream",Always,"Ingredients,Discounts/offers","Aging/wrinkles,Dryness",Prefer in-store experience,Not important,Neutral,Maybe,0% (none),Be more transparent about paid partnerships.,CeraVe
25-34,Female,Indian,Employed full-time,5000-10000,75000.0,2–3 times a month,395.0,International brands,Yes,"YouTube,TikTok",Micro-influencer,"Story,Post,Reel/Short Video",Sometimes,"Influencer recommendation,Friends/family recommendation",Hyperpigmentation,Hard to judge authenticity,Very important,Very unlikely,No,0% (none),Use less retouching in photos.,Glow Recipe
25-34,Male,British,Other,>35000,7365.0,Once a month,900.0,"Drugstore,Organic/Natural,Dermatologist-recommended,Premium",Yes,TikTok,Micro-influencer,Post,Sometimes,"Brand reputation,Influencer recommendation","Aging/wrinkles,Hyperpigmentation","Not sure if product suits me,Delivery issues",Very important,Likely,Yes,21–30%,Be more transparent about paid partnerships.,
25-34,Female,Emirati,Other,5000-10000,7534.0,2–3 times a month,135.0,"Premium,Drugstore",Yes,"Facebook,Snapchat",Micro-influencer,"Reel/Short Video,Long-form Video,Post",Never,"Friends/family recommendation,Packaging/design",Hyperpigmentation,"Lack of trust in reviews,Hard to judge authenticity,Not sure if product suits me",Very important,Likely,Yes,0% (none),Include more before-and-after photos.,La Roche-Posay
Under 18,Female,Egyptian,Employed full-time,5000-10000,2721.0,2–3 times a month,1225.0,"K-beauty/J-beauty,Dermatologist-recommended,International brands",Yes,Instagram,Macro-influencer,"Post,Long-form Video,Reel/Short Video",Rarely,"Discounts/offers,Ingredients","Dryness,Acne",Too many choices,Very important,Likely,No,11–20%,Be more transparent about paid partnerships.,Glow Recipe
35-44,Female,Emirati,Employed full-time,<5000,11999.0,Less than once a month,401.0,"Organic/Natural,Drugstore",Yes,"Snapchat,YouTube",Celebrity influencer,"Post,Reel/Short Video,Story",Often,"Influencer recommendation,Discounts/offers","Dryness,Oily skin,Hyperpigmentation","Lack of trust in reviews,Not sure if product suits me",Important,Likely,Yes,1–10%,Be more transparent about paid partnerships.,CeraVe
25-34,Female,Indian,Employed full-time,5000-10000,17496.0,Once a month,213.0,"International brands,Drugstore,K-beauty/J-beauty,Dermatologist-recommended",No,"Snapchat,YouTube",Micro-influencer,"Reel/Short Video,Story",Sometimes,"Influencer recommendation,Discounts/offers","Acne,Aging/wrinkles","Too many choices,Prefer in-store experience,Delivery issues",Important,Neutral,No,1–10%,Use less retouching in photos.,
18-24,Male,British,Homemaker,<5000,4525.0,Weekly,857.0,International brands,Yes,TikTok,Macro-influencer,"Post,Story",Sometimes,"Discounts/offers,Dermatologist advice","Aging/wrinkles,Sensitivity,Hyperpigmentation","Prefer in-store experience,Too many choices,Not sure if product suits me",Important,Neutral,Maybe,0% (none),Show skincare routine without filters.,Drunk Elephant
35-44,Male,Indian,Employed full-time,5000-10000,6923.0,2–3 times a month,1433.0,"Organic/Natural,Drugstore",Yes,"YouTube,Instagram,Snapchat",Macro-influencer,Post,Often,"Ingredients,Reviews","Dryness,Sensitivity,Acne","Hard to judge authenticity,Too many choices,Not sure if product suits me",Neutral,Very likely,Yes,0% (none),Show skincare routine without filters.,
45 or older,Female,Emirati,Student,5000-10000,18428.0,2–3 times a month,681.0,"Drugstore,Premium,Organic/Natural",No,"Instagram,Facebook",Micro-influencer,Blog/Article,Often,"Dermatologist advice,Ingredients",Dryness,"Prefer in-store experience,Hard to judge authenticity",Important,Neutral,Yes,1–10%,Show skincare routine without filters.,The Ordinary
18-24,Prefer not to say,Indian,Employed full-time,20000-35000,20869.0,Once a month,185.0,"Local brands,Dermatologist-recommended,K-beauty/J-beauty,Premium",Yes,"Snapchat,YouTube",Micro-influencer,Story,Rarely,"Ingredients,Influencer recommendation","Dryness,Oily skin","Too many choices,Prefer in-store experience,Not sure if product suits me",Very important,Unlikely,Yes,Over 30%,Share more honest reviews.,Neutrogena
18-24,Female,Indian,Homemaker,20000-35000,4508.0,2–3 times a month,811.0,Drugstore,No,"Instagram,YouTube",Micro-influencer,Long-form Video,Rarely,"Brand reputation,Friends/family recommendation","Sensitivity,Hyperpigmentation,Aging/wrinkles,Acne",Lack of trust in reviews,Important,Likely,Yes,0% (none),,
35-44,Female,Egyptian,Homemaker,5000-10000,9198.0,Weekly,203.0,"Premium,K-beauty/J-beauty,Organic/Natural",Yes,"Instagram,Snapchat,TikTok",Mega-influencer,"Post,Reel/Short Video",Sometimes,"Packaging/design,Friends/family recommendation","Acne,Dryness,Hyperpigmentation,Aging/wrinkles",Too many choices,Very important,Neutral,No,1–10%,Share more honest reviews.,CeraVe
35-44,Female,Indian,Employed full-time,20000-35000,3924.0,Once a month,2863.0,"K-beauty/J-beauty,International brands,Premium,Drugstore",Yes,"TikTok,Instagram",Micro-influencer,"Live Stream,Long-form Video",Sometimes,"Reviews,Dermatologist advice","Acne,Oily skin,Other,Hyperpigmentation","Too many choices,Not sure if product suits me",Somewhat important,Unlikely,Yes,1–10%,Be more transparent about paid partnerships.,Cetaphil
18-24,Female,Egyptian,Employed part-time,20000-35000,2967.0,Less than once a month,1155.0,"K-beauty/J-beauty,Local brands,Premium",Yes,"Instagram,Facebook,YouTube",Micro-influencer,Reel/Short Video,Always,"Discounts/offers,Influencer recommendation","Aging/wrinkles,Acne","Too many choices,Prefer in-store experience,Not sure if product suits me",Neutral,Very unlikely,Yes,1–10%,,
18-24,Male,Other,Employed full-time,10000-20000,23784.0,2–3 times a month,454.0,Organic/Natural,No,Instagram,Micro-influencer,"Post,Story",Often,"Ingredients,Reviews","Hyperpigmentation,Aging/wrinkles",Lack of trust in reviews,Neutral,Very likely,Yes,1–10%,,CeraVe
25-34,Female,Filipino,Employed full-time,<5000,17459.0,More than once a week,623.0,"Dermatologist-recommended,K-beauty/J-beauty",Yes,"TikTok,Facebook,YouTube",Macro-influencer,Reel/Short Video,Sometimes,"Influencer recommendation,Discounts/offers","Hyperpigmentation,Acne,Aging/wrinkles,Sensitivity",Hard to judge authenticity,Somewhat important,Neutral,Maybe,1–10%,Share more honest reviews.,Neutrogena
25-34,Female,Other,Unemployed,10000-20000,14845.0,2–3 times a month,699.0,"Organic/Natural,Dermatologist-recommended,International brands",No,"YouTube,Snapchat",Macro-influencer,"Blog/Article,Story",Often,"Influencer recommendation,Discounts/offers","Oily skin,Acne,Hyperpigmentation",Too many choices,Important,Unlikely,Yes,11–20%,Share more honest reviews.,
25-34,Male,Indian,Employed full-time,>35000,2450.0,Less than once a month,399.0,"Drugstore,Premium,Dermatologist-recommended,International brands",Yes,Instagram,Micro-influencer,Live Stream,Sometimes,"Friends/family recommendation,Packaging/design","Dryness,Aging/wrinkles","Not sure if product suits me,Hard to judge authenticity,Too many choices",Very important,Likely,Yes,0% (none),Use less retouching in photos.,La Roche-Posay
25-34,Female,Other,Employed full-time,10000-20000,18705.0,Once a month,817.0,"Organic/Natural,Premium,Drugstore",Yes,Facebook,Macro-influencer,Post,Often,"Reviews,Friends/family recommendation","Hyperpigmentation,Dryness,Aging/wrinkles,Acne","Hard to judge authenticity,Not sure if product suits me,Too many choices",Important,Very likely,Yes,21–30%,Show skincare routine without filters.,La Roche-Posay
25-34,Male,Emirati,Student,5000-10000,7187.0,Weekly,224.0,K-beauty/J-beauty,No,Other,Macro-influencer,"Story,Reel/Short Video,Blog/Article",Rarely,"Ingredients,Discounts/offers","Dryness,Aging/wrinkles",Lack of trust in reviews,Neutral,Likely,No,1–10%,Show skincare routine without filters.,
35-44,Female,British,Unemployed,10000-20000,5772.0,Once a month,1068.0,"Premium,International brands,Local brands",Yes,Instagram,Micro-influencer,"Story,Long-form Video",Often,"Discounts/offers,Influencer recommendation","Dryness,Oily skin,Acne","Delivery issues,Not sure if product suits me",Neutral,Very unlikely,Yes,1–10%,,Glow Recipe
Under 18,Male,Filipino,Homemaker,10000-20000,9116.0,2–3 times a month,278.0,"Premium,Drugstore,Dermatologist-recommended",No,Facebook,Micro-influencer,Reel/Short Video,Sometimes,"Discounts/offers,Ingredients","Acne,Sensitivity",Prefer in-store experience,Important,Neutral,Yes,0% (none),Share more honest reviews.,Cetaphil
18-24,Female,Indian,Employed part-time,10000-20000,17173.0,2–3 times a month,354.0,Dermatologist-recommended,Yes,"Instagram,YouTube",Macro-influencer,"Blog/Article,Reel/Short Video,Live Stream",Never,"Packaging/design,Reviews","Acne,Hyperpigmentation","Lack of trust in reviews,Delivery issues,Too many choices",Neutral,Unlikely,Maybe,1–10%,Show skincare routine without filters.,
35-44,Female,Pakistani,Business owner,<5000,14719.0,Once a month,523.0,Local brands,Yes,Instagram,Macro-influencer,"Long-form Video,Story,Reel/Short Video",Rarely,"Ingredients,Friends/family recommendation","Hyperpigmentation,Acne","Prefer in-store experience,Not sure if product suits me",Important,Likely,Yes,0% (none),Share more honest reviews.,Glow Recipe
35-44,Male,British,Employed full-time,5000-10000,9860.0,Weekly,801.0,"Local brands,Drugstore",No,"YouTube,Facebook",Macro-influencer,Blog/Article,Sometimes,"Discounts/offers,Dermatologist advice","Dryness,Aging/wrinkles,Hyperpigmentation,Other",Too many choices,Neutral,Neutral,Yes,0% (none),Be more transparent about paid partnerships.,Glow Recipe
25-34,Female,Emirati,Employed full-time,20000-35000,3859.0,Weekly,700.0,"Drugstore,Organic/Natural",No,"TikTok,Instagram,YouTube",Macro-influencer,Story,Often,"Brand reputation,Ingredients","Hyperpigmentation,Acne",Prefer in-store experience,Neutral,Neutral,Maybe,0% (none),,Glow Recipe
25-34,Female,Indian,Employed full-time,20000-35000,3877.0,2–3 times a month,168.0,Premium,Yes,"TikTok,Snapchat,Instagram",Micro-influencer,"Blog/Article,Story,Reel/Short Video",Never,"Ingredients,Influencer recommendation",Acne,"Too many choices,Prefer in-store experience",Important,Likely,Yes,21–30%,Show skincare routine without filters.,Glow Recipe
18-24,Female,British,Student,<5000,3833.0,Once a month,447.0,"Drugstore,Premium",No,"TikTok,Snapchat,Facebook",Micro-influencer,Story,Often,"Friends/family recommendation,Influencer recommendation","Oily skin,Aging/wrinkles,Hyperpigmentation",Lack of trust in reviews,Important,Likely,Yes,1–10%,,Glow Recipe
25-34,Male,Pakistani,Employed full-time,>35000,2528.0,Less than once a month,183.0,Drugstore,Yes,YouTube,Macro-influencer,"Story,Long-form Video",Often,"Discounts/offers,Reviews","Sensitivity,Other,Acne",Prefer in-store experience,Somewhat important,Very likely,Yes,11–20%,,
25-34,Female,Other,Other,5000-10000,9976.0,2–3 times a month,1269.0,"Drugstore,International brands,Premium,K-beauty/J-beauty",No,Instagram,Macro-influencer,Reel/Short Video,Often,"Discounts/offers,Ingredients","Dryness,Acne,Oily skin,Hyperpigmentation","Not sure if product suits me,Hard to judge authenticity",Very important,Likely,No,1–10%,Show skincare routine without filters.,Neutrogena
